trade_id,trade_date,instrument_isin,instrument_name,instrument_country,instrument_type,venue_mic,counterparty_id,counterparty_name,counterparty_lei,side,quantity,price,notional_value,currency,reporting_status,rejection_reason,report_submitted_date
TRD00028,2024-08-04,GB0002634946,BP PLC,GB,EQUITY,XPAR,CP004,UBS Group AG,7H6GLXDRUGQFU57RNE97,BUY,5040,227.1341,1144755.86,EUR,ACCEPTED,,2024-08-05
TRD00029,2024-11-29,DE0007164600,SAP SE,DE,EQUITY,XEUR,CP001,Deutsche Bank AG,INR2EJN1ERAN0W5ZP974,SELL,10999,209.1429,2300362.76,EUR,ACCEPTED,,2024-11-30
TRD00030,2024-07-24,DE000A1EWWW0,Adidas AG,DE,EQUITY,XLON,CP004,UBS Group AG,529900T8BM49AURSDO55,SELL,25686,139.9495,3594742.86,EUR,ACCEPTED,,2024-07-25
TRD00031,2024-08-04,XS1234567890,EUR Corp Bond 2026,XS,BOND,XMIL,CP006,Morgan Stanley,INR2EJN1ERAN0W5ZP974,SELL,31994,85.8504,2746697.7,EUR,PENDING,,2024-08-05
TRD00032,2024-01-30,DE0007164600,SAP SE,DE,EQUITY,XMIL,CP001,Deutsche Bank AG,PBLD0EJDB5FWOLXP3B76,SELL,20652,38.011,785003.17,EUR,PENDING,,2024-01-31
TRD00033,2024-01-30,DE0007164600,SAP SE,DE,EQUITY,XEUR,CP007,JPMorgan Chase,UWJKLYCTVC18SQVJHL39,BUY,4590,301.5672,1384193.45,EUR,ACCEPTED,,2024-01-31
TRD00034,2024-03-02,DE0007164600,SAP SE,DE,EQUITY,XLON,CP005,Credit Suisse,,SELL,2704,313.4969,847695.62,EUR,REJECTED,PRICE_OUT_OF_RANGE,2024-03-03
TRD00035,2024-04-14,XS1234567890,EUR Corp Bond 2026,XS,BOND,XPAR,CP002,Barclays PLC,9ZHRYM6F437SQJ6OUG95,SELL,26038,74.1304,1930207.36,EUR,ACCEPTED,,2024-04-15
TRD00036,2024-06-10,XS9876543210,USD Corp Bond 2028,XS,BOND,XEUR,CP001,Deutsche Bank AG,MAES062Z21O4RZ2U7M96,BUY,40808,499.2427,20373096.1,EUR,ACCEPTED,,2024-06-11
TRD00037,2024-10-02,GB0002634946,BP PLC,GB,EQUITY,XMIL,CP003,Societe Generale,XKZZ2JZF41MRHTR1V493,BUY,22972,441.6234,10144972.74,EUR,ACCEPTED,,2024-10-03
TRD00038,2024-05-25,GB0002634946,BP PLC,GB,EQUITY,XAMS,CP007,JPMorgan Chase,,BUY,46207,158.2334,7311490.71,EUR,REJECTED,INVALID_LEI,2024-05-26
TRD00039,2024-03-09,FR0000131104,BNP Paribas,FR,EQUITY,XEUR,CP001,Deutsche Bank AG,INR2EJN1ERAN0W5ZP974,SELL,36356,86.1695,3132778.34,EUR,PENDING,,2024-03-10
TRD00040,2024-06-24,GB0002634946,BP PLC,GB,EQUITY,XPAR,CP005,Credit Suisse,MAES062Z21O4RZ2U7M96,BUY,16557,453.6149,7510501.9,EUR,ACCEPTED,,2024-06-25
TRD00041,2024-11-20,US0378331005,Apple Inc,US,EQUITY,XPAR,CP001,Deutsche Bank AG,PBLD0EJDB5FWOLXP3B76,SELL,21959,387.8484,8516763.02,EUR,ACCEPTED,,2024-11-21
TRD00042,2024-08-14,DE0007164600,SAP SE,DE,EQUITY,XAMS,CP005,Credit Suisse,7H6GLXDRUGQFU57RNE97,BUY,7431,46.8695,348287.25,EUR,ACCEPTED,,2024-08-15
TRD00043,2024-07-08,DE0007164600,SAP SE,DE,EQUITY,XMIL,CP002,Barclays PLC,7H6GLXDRUGQFU57RNE97,SELL,8452,30.4961,257753.04,EUR,ACCEPTED,,2024-07-09
TRD00044,2024-07-02,GB0002634946,BP PLC,GB,EQUITY,XLON,CP006,Morgan Stanley,PBLD0EJDB5FWOLXP3B76,SELL,23278,392.257,9130958.45,EUR,ACCEPTED,,2024-07-03
TRD00045,2024-05-01,XS9876543210,USD Corp Bond 2028,XS,BOND,XLON,CP007,JPMorgan Chase,UWJKLYCTVC18SQVJHL39,SELL,27120,22.1453,600580.54,EUR,ACCEPTED,,2024-05-02
TRD00046,2024-12-08,XS9876543210,USD Corp Bond 2028,XS,BOND,XLON,CP003,Societe Generale,9ZHRYM6F437SQJ6OUG95,BUY,46058,62.9669,2900129.48,EUR,ACCEPTED,,2024-12-09
TRD00047,2024-04-23,GB0002634946,BP PLC,GB,EQUITY,XAMS,CP003,Societe Generale,UWJKLYCTVC18SQVJHL39,BUY,15015,119.2325,1790275.99,EUR,ACCEPTED,,2024-04-24
TRD00048,2024-06-17,FR0000131104,BNP Paribas,FR,EQUITY,XEUR,CP007,JPMorgan Chase,XKZZ2JZF41MRHTR1V493,SELL,23112,324.3261,7495824.82,EUR,ACCEPTED,,2024-06-18
TRD00049,2024-01-15,DE000A1EWWW0,Adidas AG,DE,EQUITY,XPAR,CP002,Barclays PLC,,SELL,17497,28.746,502968.76,EUR,REJECTED,PRICE_OUT_OF_RANGE,2024-01-16
TRD00050,2024-08-11,DE0007164600,SAP SE,DE,EQUITY,XMIL,CP001,Deutsche Bank AG,UWJKLYCTVC18SQVJHL39,BUY,37887,103.1386,3907612.14,EUR,ACCEPTED,,2024-08-12
TRD00051,2024-01-01,DE0007164600,SAP SE,DE,EQUITY,XMIL,CP006,Morgan Stanley,XKZZ2JZF41MRHTR1V493,BUY,48724,371.1485,18083839.51,EUR,PENDING,,2024-01-02
TRD00052,2024-08-08,DE000A1EWWW0,Adidas AG,DE,EQUITY,XPAR,CP005,Credit Suisse,529900T8BM49AURSDO55,SELL,43575,425.5275,18542360.81,EUR,ACCEPTED,,2024-08-09
TRD00053,2024-12-07,US0378331005,Apple Inc,US,EQUITY,XPAR,CP004,UBS Group AG,UWJKLYCTVC18SQVJHL39,BUY,19476,281.6621,5485651.06,EUR,PENDING,,2024-12-08
TRD00054,2024-12-06,US0378331005,Apple Inc,US,EQUITY,XLON,CP005,Credit Suisse,,BUY,19823,208.9768,4142547.11,EUR,REJECTED,PRICE_OUT_OF_RANGE,2024-12-07
TRD00055,2024-04-17,US0378331005,Apple Inc,US,EQUITY,XMIL,CP005,Credit Suisse,INR2EJN1ERAN0W5ZP974,SELL,21218,237.8442,5046578.24,EUR,PENDING,,2024-04-18
TRD00056,2024-09-18,US0378331005,Apple Inc,US,EQUITY,XLON,CP006,Morgan Stanley,MAES062Z21O4RZ2U7M96,SELL,18698,262.5715,4909561.91,EUR,ACCEPTED,,2024-09-19
TRD00057,2024-04-30,XS1234567890,EUR Corp Bond 2026,XS,BOND,XPAR,CP002,Barclays PLC,9ZHRYM6F437SQJ6OUG95,BUY,9756,21.9684,214323.71,EUR,ACCEPTED,,2024-05-01
TRD00058,2024-11-08,XS9876543210,USD Corp Bond 2028,XS,BOND,XEUR,CP004,UBS Group AG,9ZHRYM6F437SQJ6OUG95,SELL,41372,292.0787,12083879.98,EUR,ACCEPTED,,2024-11-09
TRD00059,2024-07-23,GB0002634946,BP PLC,GB,EQUITY,XLON,CP006,Morgan Stanley,UWJKLYCTVC18SQVJHL39,BUY,463,447.4033,207147.73,EUR,PENDING,,2024-07-24
TRD00060,2024-04-22,GB0002634946,BP PLC,GB,EQUITY,XMIL,CP004,UBS Group AG,9ZHRYM6F437SQJ6OUG95,BUY,36630,132.1072,4839086.74,EUR,ACCEPTED,,2024-04-23
TRD00061,2024-03-09,XS9876543210,USD Corp Bond 2028,XS,BOND,XAMS,CP006,Morgan Stanley,00000000000000000000,SELL,36729,301.7716,11083769.1,EUR,REJECTED,MISSING_VENUE_CODE,2024-03-10
TRD00062,2024-08-16,GB0002634946,BP PLC,GB,EQUITY,XAMS,CP004,UBS Group AG,9ZHRYM6F437SQJ6OUG95,SELL,49368,131.1475,6474489.78,EUR,ACCEPTED,,2024-08-17
TRD00063,2024-11-16,GB0002634946,BP PLC,GB,EQUITY,XPAR,CP004,UBS Group AG,XKZZ2JZF41MRHTR1V493,SELL,46862,150.0068,7029618.66,EUR,ACCEPTED,,2024-11-17
TRD00064,2024-06-12,DE0007164600,SAP SE,DE,EQUITY,XEUR,CP002,Barclays PLC,INR2EJN1ERAN0W5ZP974,BUY,15255,197.6873,3015719.76,EUR,ACCEPTED,,2024-06-13
TRD00065,2024-02-02,US0378331005,Apple Inc,US,EQUITY,XAMS,CP003,Societe Generale,00000000000000000000,BUY,30634,213.7294,6547386.44,EUR,REJECTED,DUPLICATE_TRADE_ID,2024-02-03
TRD00066,2024-10-26,XS1234567890,EUR Corp Bond 2026,XS,BOND,XEUR,CP007,JPMorgan Chase,,SELL,25028,243.7201,6099826.66,EUR,REJECTED,DUPLICATE_TRADE_ID,2024-10-27
TRD00067,2024-08-02,DE0007164600,SAP SE,DE,EQUITY,XMIL,CP007,JPMorgan Chase,00000000000000000000,SELL,14553,249.2324,3627079.12,EUR,REJECTED,DUPLICATE_TRADE_ID,2024-08-03
TRD00068,2024-01-15,US0378331005,Apple Inc,US,EQUITY,XPAR,CP006,Morgan Stanley,PBLD0EJDB5FWOLXP3B76,SELL,26597,364.8489,9703886.19,EUR,PENDING,,2024-01-16
TRD00069,2024-11-14,DE0007164600,SAP SE,DE,EQUITY,XEUR,CP004,UBS Group AG,00000000000000000000,BUY,37087,334.8699,12419319.98,EUR,REJECTED,MISSING_INSTRUMENT_ID,2024-11-15
TRD00070,2024-08-24,GB0002634946,BP PLC,GB,EQUITY,XEUR,CP003,Societe Generale,XKZZ2JZF41MRHTR1V493,SELL,21553,113.7135,2450867.07,EUR,ACCEPTED,,2024-08-25
TRD00071,2024-07-13,FR0000131104,BNP Paribas,FR,EQUITY,XAMS,CP003,Societe Generale,XKZZ2JZF41MRHTR1V493,BUY,30922,19.4978,602910.97,EUR,ACCEPTED,,2024-07-14
TRD00072,2024-04-24,XS1234567890,EUR Corp Bond 2026,XS,BOND,XEUR,CP007,JPMorgan Chase,INR2EJN1ERAN0W5ZP974,BUY,2738,379.5743,1039274.43,EUR,PENDING,,2024-04-25
TRD00073,2024-01-11,DE0007164600,SAP SE,DE,EQUITY,XLON,CP002,Barclays PLC,9ZHRYM6F437SQJ6OUG95,BUY,31135,338.0348,10524713.5,EUR,ACCEPTED,,2024-01-12
TRD00074,2024-12-24,FR0000131104,BNP Paribas,FR,EQUITY,XPAR,CP002,Barclays PLC,BADLEI00000000000000000,BUY,39896,482.23,19239048.08,EUR,REJECTED,PRICE_OUT_OF_RANGE,2024-12-25
TRD00075,2024-02-25,DE0007164600,SAP SE,DE,EQUITY,XEUR,CP003,Societe Generale,00000000000000000000,SELL,44490,454.9328,20239960.27,EUR,REJECTED,MISSING_INSTRUMENT_ID,2024-02-26
TRD00076,2024-02-08,DE0007164600,SAP SE,DE,EQUITY,XLON,CP001,Deutsche Bank AG,7H6GLXDRUGQFU57RNE97,BUY,19864,426.6437,8474850.46,EUR,PENDING,,2024-02-09
TRD00077,2024-06-26,DE0007164600,SAP SE,DE,EQUITY,XAMS,CP006,Morgan Stanley,7H6GLXDRUGQFU57RNE97,SELL,4619,257.9208,1191336.18,EUR,ACCEPTED,,2024-06-27
TRD00078,2024-08-03,XS9876543210,USD Corp Bond 2028,XS,BOND,XAMS,CP001,Deutsche Bank AG,PBLD0EJDB5FWOLXP3B76,SELL,23836,321.4367,7661765.18,EUR,ACCEPTED,,2024-08-04
TRD00079,2024-08-10,GB0002634946,BP PLC,GB,EQUITY,XMIL,CP006,Morgan Stanley,9ZHRYM6F437SQJ6OUG95,SELL,40464,406.0176,16429096.17,EUR,ACCEPTED,,2024-08-11
TRD00080,2024-08-11,XS9876543210,USD Corp Bond 2028,XS,BOND,XMIL,CP003,Societe Generale,529900T8BM49AURSDO55,BUY,16188,417.0582,6751338.14,EUR,ACCEPTED,,2024-08-12
TRD00081,2024-08-18,GB0002634946,BP PLC,GB,EQUITY,XAMS,CP005,Credit Suisse,00000000000000000000,BUY,43890,195.7048,8589483.67,EUR,REJECTED,PRICE_OUT_OF_RANGE,2024-08-19
TRD00082,2024-04-03,US0378331005,Apple Inc,US,EQUITY,XLON,CP003,Societe Generale,7H6GLXDRUGQFU57RNE97,SELL,22404,147.0327,3294120.61,EUR,ACCEPTED,,2024-04-04
TRD00083,2024-09-21,GB0002634946,BP PLC,GB,EQUITY,XEUR,CP002,Barclays PLC,9ZHRYM6F437SQJ6OUG95,BUY,26735,249.4031,6667791.88,EUR,PENDING,,2024-09-22
TRD00084,2024-11-26,XS1234567890,EUR Corp Bond 2026,XS,BOND,XAMS,CP004,UBS Group AG,INR2EJN1ERAN0W5ZP974,SELL,6198,154.1754,955579.13,EUR,ACCEPTED,,2024-11-27
TRD00085,2024-06-05,XS1234567890,EUR Corp Bond 2026,XS,BOND,XMIL,CP003,Societe Generale,XKZZ2JZF41MRHTR1V493,SELL,36372,270.1517,9825957.63,EUR,ACCEPTED,,2024-06-06
TRD00086,2024-06-29,XS1234567890,EUR Corp Bond 2026,XS,BOND,XAMS,CP003,Societe Generale,XKZZ2JZF41MRHTR1V493,BUY,16575,122.9636,2038121.67,EUR,ACCEPTED,,2024-06-30
TRD00087,2024-03-02,XS1234567890,EUR Corp Bond 2026,XS,BOND,XMIL,CP007,JPMorgan Chase,529900T8BM49AURSDO55,SELL,12233,103.8551,1270459.44,EUR,PENDING,,2024-03-03
TRD00088,2024-10-28,XS9876543210,USD Corp Bond 2028,XS,BOND,XMIL,CP005,Credit Suisse,INR2EJN1ERAN0W5ZP974,SELL,6688,417.9879,2795503.08,EUR,ACCEPTED,,2024-10-29
TRD00089,2024-07-03,GB0002634946,BP PLC,GB,EQUITY,XPAR,CP001,Deutsche Bank AG,7H6GLXDRUGQFU57RNE97,BUY,35105,72.0257,2528462.2,EUR,PENDING,,2024-07-04
TRD00090,2024-10-10,FR0000131104,BNP Paribas,FR,EQUITY,XLON,CP006,Morgan Stanley,9ZHRYM6F437SQJ6OUG95,SELL,6823,437.6327,2985967.91,EUR,ACCEPTED,,2024-10-11
TRD00091,2024-09-02,US0378331005,Apple Inc,US,EQUITY,XPAR,CP002,Barclays PLC,MAES062Z21O4RZ2U7M96,SELL,16646,471.1212,7842283.5,EUR,ACCEPTED,,2024-09-03
TRD00092,2024-02-03,US0378331005,Apple Inc,US,EQUITY,XAMS,CP001,Deutsche Bank AG,BADLEI00000000000000000,BUY,41351,346.361,14322373.71,EUR,REJECTED,MISSING_VENUE_CODE,2024-02-04
TRD00093,2024-06-04,DE000A1EWWW0,Adidas AG,DE,EQUITY,XLON,CP001,Deutsche Bank AG,00000000000000000000,BUY,27374,307.0956,8406434.95,EUR,REJECTED,DUPLICATE_TRADE_ID,2024-06-05
TRD00094,2024-08-14,FR0000131104,BNP Paribas,FR,EQUITY,XMIL,CP004,UBS Group AG,INR2EJN1ERAN0W5ZP974,BUY,37365,314.3034,11743946.54,EUR,ACCEPTED,,2024-08-15
TRD00095,2024-11-16,GB0002634946,BP PLC,GB,EQUITY,XPAR,CP006,Morgan Stanley,PBLD0EJDB5FWOLXP3B76,BUY,10392,127.5339,1325332.29,EUR,ACCEPTED,,2024-11-17
TRD00096,2024-01-02,US0378331005,Apple Inc,US,EQUITY,XAMS,CP006,Morgan Stanley,,BUY,30896,152.7171,4718347.52,EUR,REJECTED,PRICE_OUT_OF_RANGE,2024-01-03
TRD00097,2024-12-25,XS9876543210,USD Corp Bond 2028,XS,BOND,XAMS,CP001,Deutsche Bank AG,UWJKLYCTVC18SQVJHL39,BUY,15397,462.7164,7124444.41,EUR,PENDING,,2024-12-26
TRD00098,2024-02-28,DE0007164600,SAP SE,DE,EQUITY,XLON,CP006,Morgan Stanley,7H6GLXDRUGQFU57RNE97,BUY,17508,415.0493,7266683.14,EUR,ACCEPTED,,2024-02-29
TRD00099,2024-03-25,XS9876543210,USD Corp Bond 2028,XS,BOND,XPAR,CP005,Credit Suisse,MAES062Z21O4RZ2U7M96,SELL,37403,461.3843,17257156.97,EUR,PENDING,,2024-03-26
TRD00100,2024-08-27,XS1234567890,EUR Corp Bond 2026,XS,BOND,XPAR,CP006,Morgan Stanley,9ZHRYM6F437SQJ6OUG95,SELL,17941,255.2314,4579106.55,EUR,ACCEPTED,,2024-08-28
TRD00101,2024-02-11,DE0007164600,SAP SE,DE,EQUITY,XEUR,CP004,UBS Group AG,MAES062Z21O4RZ2U7M96,BUY,21223,305.8197,6490411.49,EUR,PENDING,,2024-02-12
TRD00102,2024-04-27,XS1234567890,EUR Corp Bond 2026,XS,BOND,XMIL,CP005,Credit Suisse,PBLD0EJDB5FWOLXP3B76,BUY,44158,412.4964,18215016.03,EUR,ACCEPTED,,2024-04-28
TRD00103,2024-08-28,DE0007164600,SAP SE,DE,EQUITY,XAMS,CP003,Societe Generale,MAES062Z21O4RZ2U7M96,SELL,38460,223.5836,8599025.26,EUR,ACCEPTED,,2024-08-29
TRD00104,2024-08-28,FR0000131104,BNP Paribas,FR,EQUITY,XAMS,CP003,Societe Generale,XKZZ2JZF41MRHTR1V493,BUY,44017,61.2539,2696212.92,EUR,ACCEPTED,,2024-08-29
TRD00105,2024-07-29,XS1234567890,EUR Corp Bond 2026,XS,BOND,XAMS,CP003,Societe Generale,9ZHRYM6F437SQJ6OUG95,BUY,26344,408.6474,10765407.11,EUR,PENDING,,2024-07-30
TRD00106,2024-02-15,FR0000131104,BNP Paribas,FR,EQUITY,XPAR,CP003,Societe Generale,9ZHRYM6F437SQJ6OUG95,BUY,26588,433.8062,11534039.25,EUR,ACCEPTED,,2024-02-16
TRD00107,2024-07-30,DE000A1EWWW0,Adidas AG,DE,EQUITY,XLON,CP005,Credit Suisse,7H6GLXDRUGQFU57RNE97,SELL,40904,380.6571,15570398.02,EUR,ACCEPTED,,2024-07-31
TRD00108,2024-04-14,FR0000131104,BNP Paribas,FR,EQUITY,XMIL,CP002,Barclays PLC,MAES062Z21O4RZ2U7M96,SELL,28812,441.6148,12723805.62,EUR,ACCEPTED,,2024-04-15
TRD00109,2024-01-15,XS1234567890,EUR Corp Bond 2026,XS,BOND,XMIL,CP007,JPMorgan Chase,UWJKLYCTVC18SQVJHL39,BUY,46616,87.6053,4083808.66,EUR,ACCEPTED,,2024-01-16
TRD00110,2024-02-17,GB0002634946,BP PLC,GB,EQUITY,XEUR,CP004,UBS Group AG,529900T8BM49AURSDO55,SELL,42548,417.7502,17774435.51,EUR,ACCEPTED,,2024-02-18
TRD00111,2024-09-17,XS1234567890,EUR Corp Bond 2026,XS,BOND,XPAR,CP004,UBS Group AG,UWJKLYCTVC18SQVJHL39,BUY,31047,129.4281,4018354.22,EUR,ACCEPTED,,2024-09-18
TRD00112,2024-04-07,DE0007164600,SAP SE,DE,EQUITY,XMIL,CP006,Morgan Stanley,XKZZ2JZF41MRHTR1V493,SELL,4675,145.3612,679563.61,EUR,ACCEPTED,,2024-04-08
TRD00113,2024-09-16,FR0000131104,BNP Paribas,FR,EQUITY,XEUR,CP003,Societe Generale,PBLD0EJDB5FWOLXP3B76,SELL,19666,420.3632,8266862.69,EUR,PENDING,,2024-09-17
TRD00114,2024-08-16,DE0007164600,SAP SE,DE,EQUITY,XAMS,CP003,Societe Generale,9ZHRYM6F437SQJ6OUG95,SELL,36270,383.8076,13920701.65,EUR,ACCEPTED,,2024-08-17
TRD00115,2024-06-13,XS9876543210,USD Corp Bond 2028,XS,BOND,XLON,CP006,Morgan Stanley,7H6GLXDRUGQFU57RNE97,SELL,37573,197.6557,7426517.62,EUR,ACCEPTED,,2024-06-14
TRD00116,2024-06-11,XS1234567890,EUR Corp Bond 2026,XS,BOND,XAMS,CP006,Morgan Stanley,9ZHRYM6F437SQJ6OUG95,BUY,25402,494.3229,12556790.31,EUR,ACCEPTED,,2024-06-12
TRD00117,2024-01-19,GB0002634946,BP PLC,GB,EQUITY,XMIL,CP005,Credit Suisse,MAES062Z21O4RZ2U7M96,SELL,6677,438.3533,2926884.98,EUR,ACCEPTED,,2024-01-20
TRD00118,2024-09-26,US0378331005,Apple Inc,US,EQUITY,XEUR,CP006,Morgan Stanley,MAES062Z21O4RZ2U7M96,BUY,26968,436.7572,11778468.17,EUR,ACCEPTED,,2024-09-27
TRD00119,2024-08-28,XS9876543210,USD Corp Bond 2028,XS,BOND,XPAR,CP003,Societe Generale,,BUY,45497,204.7668,9316275.1,EUR,REJECTED,MISSING_VENUE_CODE,2024-08-29
TRD00120,2024-07-13,FR0000131104,BNP Paribas,FR,EQUITY,XAMS,CP007,JPMorgan Chase,,BUY,2452,312.5551,766385.11,EUR,REJECTED,MISSING_INSTRUMENT_ID,2024-07-14
TRD00121,2024-02-16,US0378331005,Apple Inc,US,EQUITY,XEUR,CP007,JPMorgan Chase,PBLD0EJDB5FWOLXP3B76,SELL,46230,437.5638,20228574.47,EUR,PENDING,,2024-02-17
TRD00122,2024-12-21,FR0000131104,BNP Paribas,FR,EQUITY,XEUR,CP001,Deutsche Bank AG,UWJKLYCTVC18SQVJHL39,SELL,3777,153.7502,580714.51,EUR,ACCEPTED,,2024-12-22
TRD00123,2024-03-15,GB0002634946,BP PLC,GB,EQUITY,XMIL,CP004,UBS Group AG,BADLEI00000000000000000,BUY,44782,398.3345,17838215.58,EUR,REJECTED,INVALID_LEI,2024-03-16
TRD00124,2024-11-08,XS9876543210,USD Corp Bond 2028,XS,BOND,XAMS,CP005,Credit Suisse,INR2EJN1ERAN0W5ZP974,BUY,15883,253.857,4032010.73,EUR,PENDING,,2024-11-09
TRD00125,2024-08-24,XS1234567890,EUR Corp Bond 2026,XS,BOND,XPAR,CP004,UBS Group AG,529900T8BM49AURSDO55,SELL,43802,14.6047,639715.07,EUR,ACCEPTED,,2024-08-25
